#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
east_germanic;East Germanic;Germanique oriental;Ostgermanisch;;Germánica Oriental;;;;;;;;;x
burgundian;Burgundian;Bourguignon;Burgunder;;Borgoño;;;;;;;;;x
gothic;Gothic;Gothique;Gotik;;Gótico;;;;;;;;;x
vandalic;Vandalic;Vandale;Vandalen;;Vandálico;;;;;;;;;x
ca_culture_roman_1;Roman Garrisons I;;;;;;;;;;;;;x
ca_culture_roman_1_desc;The Roman Legionaries were known to be one of the most disciplined force in history. Working in cohorts, units were severly punished if they were found to be working individually.;;;;;;;;;;;;;x
ca_culture_roman_2;Roman Garrisons II;;;;;;;;;;;;;x
ca_culture_roman_3;Roman Garrisons III;;;;;;;;;;;;;x
ca_culture_roman_4;Roman Garrisons IV;;;;;;;;;;;;;x
RETTYPE_CUL_ROM;Legionnaire;;;;;;;;;;;;;x
emperor_roman;Imperator;;;;;;;;;;;;;x
emperor_female_roman;Imperatrix;;;;;;;;;;;;;x
king_roman;Rex;;;;;;;;;;;;;x
king_female_roman;Regina;;;;;;;;;;;;;x
duke_roman;Comes;;;;;;;;;;;;;x
duke_female_roman;Countess;;;;;;;;;;;;;x
count_roman;Dux;;;;;;;;;;;;;x
count_female_roman;Duchess;;;;;;;;;;;;;x
baron_roman;Aedile;;;;;;;;;;;;;x
title_prince_roman;Princeps;;;;;;;;;;;;;x
vice_royalty_emperor_roman;Princeps;;;;;;;;;;;;;x
vice_royalty_king_roman;Prefectus;;;;;;;;;;;;;x
vice_royalty_duke_roman;Proconsul;;;;;;;;;;;;;x
#empire_roman;Imperium;;;;;;;;;;;;;x
#kingdom_roman;Regnum;;;;;;;;;;;;;x
duchy_roman;Comitum;;;;;;;;;;;;;x
county_roman;Ducatum;;;;;;;;;;;;;x
vice_royalty_empire_roman;Principate;;;;;;;;;;;;;x
vice_royalty_kingdom_roman;Prefecture;;;;;;;;;;;;;x
vice_royalty_kingdom_duchy;Proconsulate;;;;;;;;;;;;;x
#empire_of_roman;Imperium of;;;;;;;;;;;;;x
#kingdom_of_roman;Regnum of;;;;;;;;;;;;;x
duchy_of_roman;Comitum of;;;;;;;;;;;;;x
county_of_roman;Ducatum of;;;;;;;;;;;;;x
vice_royalty_empire_of_roman;Principate of;;;;;;;;;;;;;x
vice_royalty_kingdom_of_roman;Prefecture of;;;;;;;;;;;;;x
vice_royalty_duchy_of_roman;Proconsulate of;;;;;;;;;;;;;x
ostrogothic;Ostrogothic;Ostrogoth;Ostgotisch;;Ostrogodo;;;;;;;;;x;;
count_greek;Komis;Komis;Komis;;Komis;;;;;;;;;x
baron_greek;Varonos;Varonos;Varonos;;Varonos;;;;;;;;;x
hunnic;Hunnic;Hunique;Hunik;;Hunico;;;;;;;;;x
duke_hunnic;High Chief;Grand Chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_female_hunnic;High Chieftess;Grand cheftaine;Großhäuptling;;Alto mandatario;;;;;;;;;x
count_hunnic;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
count_female_hunnic;Chieftess;Cheftaine;Häuptling;;Mandatario;;;;;;;;;x
