#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mon_khmer_group;Mon-Khmer;;;;;;;;;;;;;x
RETTYPE_CUL_THAI;War Elephants;;;;;;;;;;;;;x
khmer;Khmer;;;;;;;;;;;;;x
mon;Mon;;;;;;;;;;;;;x
viet;Viet;;;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x
tai_kadai_group;Tai-Kadai;;;;;;;;;;;;;x
thai;Thai;;;;;;;;;;;;;x
lao;Lao;;;;;;;;;;;;;x
shan;Shan;;;;;;;;;;;;;x
malayo_polynesian_group;Malayo-Polynesian;;;;;;;;;;;;;x
malay;Malay;;;;;;;;;;;;;x
tagalog;Tagalog;;;;;;;;;;;;;x
javanese;Javanese;Javanaise;Javanische;Javaneses;;;;;;;;;x
minangkabau;Minangkabau;;;;;;;;;;;;;x
taiwanese;Taiwanese;;;;;;;;;;;;;x
acehnese;Acehnese;;;;;;;;;;;;;x
dayak;Dayak;;;;;;;;;;;;;x
minahasan;Minahasan;;;;;;;;;;;;x
andamanese;Andamanese;;;;;;;;;;;;;x
dayak_pagan_reformed;Kaharingan;;;;;;;;;;;;;x
dayak_pagan_reformed_DESC;The reformed Kaharingan faith now has a Holy Book used by the Hindus called Mahabharata, a standardized liturgy and a formal church hierarchy led by the Head Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
d_dayak_pagan_reformed;The Kaharingan Church;;;;;;;;;;;;;x
d_dayak_pagan_reformed_adj;Kaharingan;;;;;;;;;;;;;x
dayak_pagan;Kaharingan;;;;;;;;;;;;;x
dayak_pagan_DESC;Kaharinganism is the folk religion of Borneo. Having a lot of similarities with the Indian religions, Hinduism in particular, Kaharinganism can be seen as a denomination of Hinduism. They are known for their long festivals called the Tiwah festival, which lasts for thirty days, and involves the sacrifice of many animals such as buffaloes, cows, pigs, and chickens as offerings to the Supreme God.;;;;;;;;;;;;;x
melanesian_pagan_reformed;Melanesian;;;;;;;;;;;;;x
melanesian_pagan_reformed_DESC;The reformed Melanesian religion is a fusion of many popular beliefs, with a single Holy Book including a creation myth, chapters on rites and rituals, as wells headhunting festivals. The church also has a standardized liturgy and a formal church hierarchy led by a High Priest (or Priestess), who can be vassalized by secular rulers.;;;;;;;;;;;;;x
d_melanesian_pagan_reformed;The Melanesian Church;;;;;;;;;;;;;x
d_melanesian_pagan_reformed_adj;Melanesian;;;;;;;;;;;;;x
melanesian_pagan;Melanesian;;;;;;;;;;;;;x
melanesian_pagan_DESC;Melanesian religion is a blanket term for the diverse pagan beliefs of the tribes of the Pacific Islands. Some of the uniform distinctive practices are mortuary rites, headhunting, and agrarian rituals.;;;;;;;;;;;;;x
