#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_darkhan2;Darkhan;;;;;;;;;;;;;x
d_alxa;Alxa;;;;;;;;;;;;;x
b_alxa;Alxa;;;;;;;;;;;;;x
b_bayan_nur;Bayan Nur;;;;;;;;;;;;;x
d_mandakh;Mandakh;;;;;;;;;;;;;x
b_mandakh;Mandakh;;;;;;;;;;;;;x
b_siziwang;Siziwang;;;;;;;;;;;;;x
b_sonid;Sonid;;;;;;;;;;;;;x
b_sainshand;Sainshand;;;;;;;;;;;;;x
d_bayandelger;Bayandelger;;;;;;;;;;;;;x
b_bayandelger;Bayandelger;;;;;;;;;;;;;x
b_baruunurt;Baruun-Urt;;;;;;;;;;;;;x
d_choibalsan;Choibalsan;;;;;;;;;;;;;x
b_bayan_ovoo;Bayan Ovoo;;;;;;;;;;;;;x
b_choibalsan;Choibalsan;;;;;;;;;;;;;x
b_duldurga;Dul'Durga;;;;;;;;;;;;;x
b_dashbalbar;Dashbalbar;;;;;;;;;;;;;x
e_mongol_china;Mongol China;;;;;;;;;;;;;x
e_jurchen;Manchuria;Mandchourie;Mandschurei;;Manchuria;;;;;;;;;x # Will be renamed to "Jin" (or whatever the player chooses) when founded in the history/through a decision
##;;;;;;;;;;;;;;
## k_jin title;;;;;;;;;;;;;;
##;;;;;;;;;;;;;;
k_jin;Jin;;;;;;;;;;;;;x
d_sakhalin;Sakhalin;;;;;;;;;;;;;x
d_pakali;Pakali;;;;;;;;;;;;;x
d_noro;Noro;;;;;;;;;;;;;x
d_aihom;Aihom;;;;;;;;;;;;;x
d_silimpdi;Silimpdi;;;;;;;;;;;;;x
d_amazar;Amazar;;;;;;;;;;;;;x
d_onan_gol;Onan Gol;;;;;;;;;;;;;x
d_yakesa;Yakesa;;;;;;;;;;;;;x
c_sakhalin;Orokot;;;;;;;;;;;;;x
c_itoui;Poro River;;;;;;;;;;;;;x
c_laha;Laha;;;;;;;;;;;;;x
c_kalar;Kalar;;;;;;;;;;;;;x
c_amgun;Amgun;;;;;;;;;;;;;x
c_pakali;Pakali;;;;;;;;;;;;;x
c_kerin;Kerin;;;;;;;;;;;;;x
c_noro;Noro;;;;;;;;;;;;;x
c_makan;Makan;;;;;;;;;;;;;x
c_tondon;Tondon;;;;;;;;;;;;;x
c_ducheri;Ducheri;;;;;;;;;;;;;x
c_boli;Boli;;;;;;;;;;;;;x
c_numen;Numen;;;;;;;;;;;;;x
c_aihom;Aihom;;;;;;;;;;;;;x
c_silimpdi;Silimpdi;;;;;;;;;;;;;x
c_ongue;Ongue;;;;;;;;;;;;;x
c_hinkan;Hinkan;;;;;;;;;;;;;x
c_amazar;Amazar;;;;;;;;;;;;;x
c_urkan;Urkan;;;;;;;;;;;;;x
c_onan_gol;Gol;;;;;;;;;;;;;x
c_ergun;Ergun;;;;;;;;;;;;;x
c_chara;Chara;;;;;;;;;;;;;x
c_yakesa;Yakesa;;;;;;;;;;;;;x
c_oroqen;Oroqen;;;;;;;;;;;;;x
c_kamara;Kamara;;;;;;;;;;;;;x
b_sakhalin_orokot;Orokot;;;;;;;;;;;;;x
b_sakhalin_ruotak;Ruotak;;;;;;;;;;;;;x
b_sakhalin_mauka;Mauka;;;;;;;;;;;;;x
b_sakhalin_tomarior;Tomarior;;;;;;;;;;;;;x
b_sakhalin_kushunnay;Kushunnay;;;;;;;;;;;;;x
b_sakhalin_kitoushi;Kitoushi;;;;;;;;;;;;;x
b_sakhalin_pontukas;Pontukas;;;;;;;;;;;;;x
b_sakhalin_nayporo;Nayporo;;;;;;;;;;;;;x
b_itoui_poronay;Poronay;;;;;;;;;;;;;x
b_itoui_idoi;Idoi;;;;;;;;;;;;;x
b_itoui_eustor;Eustor;;;;;;;;;;;;;x
b_itoui_ciryansam;Ciryansam;;;;;;;;;;;;;x
b_itoui_motomari;Motomari;;;;;;;;;;;;;x
b_itoui_tomarikes;Tomarikes;;;;;;;;;;;;;x
b_itoui_suu;Suu;;;;;;;;;;;;;x
b_itoui_hotto;Hotto;;;;;;;;;;;;;x
b_laha_dawaska;Dawaska;;;;;;;;;;;;;x
b_laha_teeme;Teeme;;;;;;;;;;;;;x
b_laha_okha;Okha;;;;;;;;;;;;;x
b_laha_noteto;Noteto;;;;;;;;;;;;;x
b_laha_uangi;Uangi;;;;;;;;;;;;;x
b_laha_trambaus;Trambaus;;;;;;;;;;;;;x
b_laha_nganivo;Nganivo;;;;;;;;;;;;;x
b_laha_ngabil;Ngabil;;;;;;;;;;;;;x
b_kalar_nuergan;Nuergan;;;;;;;;;;;;;x
b_kalar_heileli;Heileli;;;;;;;;;;;;;x
b_kalar_gelihe;Gelihe;;;;;;;;;;;;;x
b_kalar_tating;Tating;;;;;;;;;;;;;x
b_kalar_buluwu;Buluwu;;;;;;;;;;;;;x
b_kalar_qiji;Qiji;;;;;;;;;;;;;x
b_kalar_nigou;Nigou;;;;;;;;;;;;;x
b_amgun_manjing;Manjing;;;;;;;;;;;;;x
b_amgun_fuzahe;Fuzahe;;;;;;;;;;;;;x
b_amgun_bierzhen;Bierzhen;;;;;;;;;;;;;x
b_amgun_boerbin;Boerbin;;;;;;;;;;;;;x
b_amgun_hacimaku;Hacimaku;;;;;;;;;;;;;x
b_amgun_yimu;Yimu;;;;;;;;;;;;;x
b_amgun_Yiwen;Yiwen;;;;;;;;;;;;;x
b_pakali_zaling;Zaling;;;;;;;;;;;;;x
b_pakali_kemoer;Kemoer;;;;;;;;;;;;;x
b_pakali_fuli;Fuli;;;;;;;;;;;;;x
b_pakali_buleke;Buleke;;;;;;;;;;;;;x
b_pakali_Azhe;Azhe;;;;;;;;;;;;;x
b_pakali_yutie;Yutie;;;;;;;;;;;;;x
b_pakali_woerzhai;Woerzhai;;;;;;;;;;;;;x
b_kerin_kerin;Kerin;;;;;;;;;;;;;x
b_kerin_fushan;Fushan;;;;;;;;;;;;;x
b_kerin_wusu;Wusu;;;;;;;;;;;;;x
b_kerin_hubaxi;Hubaxi;;;;;;;;;;;;;x
b_kerin_fulin;Fulin;;;;;;;;;;;;;x
b_kerin_malehengu;Malehengu;;;;;;;;;;;;;x
b_kerin_fidalin;Fidalin;;;;;;;;;;;;;x
b_noro_fuliqi;Fuliqi;;;;;;;;;;;;;x
b_noro_agu;Agu;;;;;;;;;;;;;x
b_noro_shierwu;Shierwu;;;;;;;;;;;;;x
b_noro_yushisuo;Yushisuo;;;;;;;;;;;;;x
b_noro_tuanshanzi;Tuanshanzi;;;;;;;;;;;;;x
b_noro_hedan;Hedan;;;;;;;;;;;;;x
b_noro_apodali;Apodali;;;;;;;;;;;;;x
b_makan_haerfen;Haerfen;;;;;;;;;;;;;x
b_makan_yemaer;Yemaer;;;;;;;;;;;;;x
