#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Empire of Nusantara
e_nusantara;Nusantara;;;;;;;;;;;;;x
e_nusantara_adj;Nusantaran;;;;;;;;;;;;;x
### Kingdom of Lamuri
k_lamuri;Lamuri;;;;;;;;;;;;;x
## Duchy of Andamans
d_andaman;Andamans;;;;;;;;;;;;;x
# County of Andamans
c_andaman;Andamans;;;;;;;;;;;;;x
b_manjery;Manjery;;;;;;;;;;;;;x
b_rangat;Rangat;;;;;;;;;;;;;x
b_mayabunder;Maaybunder;;;;;;;;;;;;;x
b_madhupur2;Madhupur;;;;;;;;;;;;;x
b_geinyale;Geinyale;;;;;;;;;;;;;x
b_chetamale;Chetamale;;;;;;;;;;;;;x
b_palalankwe;Palalanke;;;;;;;;;;;;;x
# County of Nicobar
c_nicobar;Nicobar;;;;;;;;;;;;;x
b_naggadipa;Naggadipa;;;;;;;;;;;;;x
b_tranquebar;Tranquebar;;;;;;;;;;;;;x
b_kalasi;Kalasi;;;;;;;;;;;;;x
b_camorta;Camorta;;;;;;;;;;;;;x
b_anul;Anul;;;;;;;;;;;;;x
b_itoi;Itoi;;;;;;;;;;;;;x
b_katchal;Katchal;;;;;;;;;;;;;x
## Duchy of Aceh
d_aceh;Aceh;;;;;;;;;;;;;x
# County of Lamuri
c_lamuri;Lamuri;;;;;;;;;;;;;x
b_lamuri;Lamuri;;;;;;;;;;;;;x
b_leupung;Leupung;;;;;;;;;;;;;x
b_sabang2;Sabang;;;;;;;;;;;;;x
b_nasi;Nasi;;;;;;;;;;;;;x
b_breueh;Breueh;;;;;;;;;;;;;x
b_padang2;Padang;;;;;;;;;;;;;x
b_calang;Calang;;;;;;;;;;;;;x
# County of Sigli
c_sigli;Sigli;;;;;;;;;;;;;x
b_sigli;Sigli;;;;;;;;;;;;;x
b_sagoe;Sagoe;;;;;;;;;;;;;x
b_meureudu;Meureudu;;;;;;;;;;;;;x
b_tangse;Tangse;;;;;;;;;;;;;x
b_trienggadeung;Trienggadeung;;;;;;;;;;;;;x
b_indrajaya;Indrajaya;;;;;;;;;;;;;x
b_mutiara;Mutiara;;;;;;;;;;;;;x
# County of Lamun
c_lamun;Lamun;;;;;;;;;;;;;x
b_lamun;Lamun;;;;;;;;;;;;;x
b_sikandang;Sikandang;;;;;;;;;;;;;x
b_meulaboh;Meulaboh;;;;;;;;;;;;;x
b_tutut;Tutut;;;;;;;;;;;;;x
b_samatiga;Samatiga;;;;;;;;;;;;;x
b_woyla;Woyla;;;;;;;;;;;;;x
b_meurebo;Meurebo;;;;;;;;;;;;;x
# County of Pasai
c_pasai;Pasai;;;;;;;;;;;;;x
b_pasai;Pasai;;;;;;;;;;;;;x
b_takengon;Takengon;;;;;;;;;;;;;x
b_lampahan;Lampahan;;;;;;;;;;;;;x
b_peusangan;Peusangan;;;;;;;;;;;;;x
b_kota_juang;Kota Juang;;;;;;;;;;;;;x
b_lhokseumawe;Lhokseumawe;;;;;;;;;;;;;x
b_dewantara;Dewantara;;;;;;;;;;;;;x
# County of Gayo
c_gayo;Gayo;;;;;;;;;;;;;x
b_gayo;Gayo;;;;;;;;;;;;;x
b_tangan_tangan;Tangan Tangan;;;;;;;;;;;;;x
b_labuhan_haji;Labuhan Haji;;;;;;;;;;;;;x
b_susoh;Susoh;;;;;;;;;;;;;x
b_blang_pidie;Blang Pidie;;;;;;;;;;;;;x
b_meukek;Meukek;;;;;;;;;;;;;x
b_sawang_manggeng;Sawang Manggeng;;;;;;;;;;;;;x
## Duchy of Suvarnadvipa
d_suvarnadvipa;Suvarnadvipa;;;;;;;;;;;;;x
# County of Singkil
c_singkil;Singkil;;;;;;;;;;;;;x
b_singkil;Singkil;;;;;;;;;;;;;x
b_trumon;Trumon;;;;;;;;;;;;;x
b_bakongan;Bakongan;;;;;;;;;;;;;x
b_kotafajar;Kotafajar;;;;;;;;;;;;;x
b_kutacane;Kutacane;;;;;;;;;;;;;x
b_tapak_tuan;Tapak Tuan;;;;;;;;;;;;;x
b_subussalam;Subussalam;;;;;;;;;;;;;x
# County of Barus
c_barus;Barus;;;;;;;;;;;;;x
b_barus;Barus;;;;;;;;;;;;;x
b_sosor_gadong;Sosor Gadong;;;;S;;;;;;;;;x
b_pakkat;Pakkat;;;;;;;;;;;;;x
b_onan_ganjang;Onan Ganjang;;;;;;;;;;;;;x
b_manduamas;Manduamas;;;;;;;;;;;;;x
b_samosir;Samosir;;;;;;;;;;;;;x
b_singkam;Singkam;;;;;;;;;;;;;x
# County of Mandailing
c_mandailing;Mandailing;;;;;;;;;;;;;x
b_mandailing;Mandailing;;;;;;;;;;;;;x
b_sibolga;Sibolga;;;;;;;;;;;;;x
b_sarulla;Sarulla;;;;;;;;;;;;;x
b_onanhasang;Onanhasang;;;;;;;;;;;;;x
b_tarutung;Tarutung;;;;;;;;;;;;;x
b_pangaribuan;Pangaribuan;;;;;;;;;;;;;x
b_aeknabara;Akenabara;;;;;;;;;;;;;x
## Duchy of Aru
d_aru;Aru;;;;;;;;;;;;;x
# County of Peureulak
c_peureulak;Peureulak;;;;;;;;;;;;;x
b_peureulak;Peureulak;;;;;;;;;;;;;x
b_langsa;Langsa;;;;;;;;;;;;;x
b_idirayeuk;Idirayeuk;;;;;;;;;;;;;x
b_seruway;Seruway;;;;;;;;;;;;;x
b_samarkilang;Samarkilang;;;;;;;;;;;;;x
b_peudawa;Peudawa;;;;;;;;;;;;;x
