# De jure
b_abashiri;Abashiri;;;;;;;;;;;;;x
b_abaya;Abaya;;;;;;;;;;;;;x
b_abe_suruga;Abe;;;;;;;;;;;;;x
b_abidjatta;Abidjatta;;;;;;;;;;;;;x
b_abobo;Abobo;;;;;;;;;;;;;x
b_abomey;Abomey;;;;;;;;;;;;;x
b_aborlan;Aborlan;;;;;;;;;;;;;x
b_abucay;Abucay;;;;;;;;;;;;;x
b_abuja;Abuja;;;;;;;;;;;;;x
b_abung;Abung;;;;;;;;;;;;;x
b_abuta;Abuta;;;;;;;;;;;;;x
b_achado;Achado;;;;;;;;;;;;;x
b_adachi;Adachi;;;;;;;;;;;;;x
b_adachi_musashi;Adachi;;;;;;;;;;;;;x
b_adiya_kaka;Adiya Kaka;;;;;;;;;;;;;x
b_aek_kanopan;Aek Kanopan;;;;;;;;;;;;;x
b_aek_kuo;Aek Kuo;;;;;;;;;;;;;x
b_aeka;Aeka;;;;;;;;;;;;;x
b_aeknabara;Akenabara;;;;;;;;;;;;;x
b_aermingli;Aermingli;;;;;;;;;;;;;x
b_aermingli_buluoxitu;Buluoxitu;;;;;;;;;;;;;x
b_aermingli_jiergaitu;Jiergaitu;;;;;;;;;;;;;x
b_aermingli_lakenuo;Lakenuo;;;;;;;;;;;;;x
b_aermingli_lueerlue;Lueerlue;;;;;;;;;;;;;x
b_aermingli_pingegute;Pingegute;;;;;;;;;;;;;x
b_aermingli_wubuerwude;Wubuerwude;;;;;;;;;;;;;x
b_afijio_jobele;Afijio Jobele;;;;;;;;;;;;;x
b_agarizaki;Agarizaki;;;;;;;;;;;;;x
b_agaro;Agaro;;;;;;;;;;;;;x
b_agatsuma;Agatsuma;;;;;;;;;;;;;x
b_agawa;Agawa;;;;;;;;;;;;;x
b_agbangnizoun;Agbangnizoun;;;;;;;;;;;;;x
b_agena;Agena;;;;;;;;;;;;;x
b_agita;Agita;;;;;;;;;;;;;x
b_ago;Ago;;;;;;;;;;;;;x
b_agpani;Agpani;;;;;;;;;;;;;x
b_ahe;Ahe;;;;;;;;;;;;;x
b_ahira;Ahira;;;;;;;;;;;;;x
b_ahiru;Ahiru;;;;;;;;;;;;;x
b_ai_nu;Ai-Nu;;;;;;;;;;;;;x
b_aichi;Aichi;;;;;;;;;;;;;x
b_aida;Aida;;;;;;;;;;;;;x
b_aimi;Aimi;;;;;;;;;;;;;x
b_ainda;Ainda;;;;;;;;;;;;;x
b_airmadidi;Airmadidi;;;;;;;;;;;;;x
b_aizu;Aizu;;;;;;;;;;;;;x
b_ajinha;Ajinha;;;;;;;;;;;;;x
b_ajudong;Ajudong;;;;;;;;;;;;;x
b_ajuy;Ajuy;;;;;;;;;;;;;x
b_akagi;Akagi;;;;;;;;;;;;;x
b_akasaka;Akasaka;;;;;;;;;;;;;x
b_akashi;Akashi;;;;;;;;;;;;;x
b_akat_amnuai;Akat Amnuai;;;;;;;;;;;;;x
b_aki;Aki;;;;;;;;;;;;;x
b_aki_murotsu;Aki;;;;;;;;;;;;;x
b_akihide;Akihide;;;;;;;;;;;;;x
b_akinyele_moniya;Akinyele Moniya;;;;;;;;;;;;;x
b_ako;Ako;;;;;;;;;;;;;x
b_akumi;Akumi;;;;;;;;;;;;;x
b_akumi_ugo;Akumi;;;;;;;;;;;;;x
b_akunami;Akunami;;;;;;;;;;;;;x
b_alafan;Alafan;;;;;;;;;;;;;x
b_alangilanan;Alangilanan;;;;;;;;;;;;;x
b_alasa;Alasa;;;;;;;;;;;;;x
b_alawiho;Alawiho;;;;;;;;;;;;;x
b_alem_gebeya;Alem Gebeya;;;;;;;;;;;;;x
b_alingarog;Alingarog;;;;;;;;;;;;;x
b_alo;Alo;;;;;;;;;;;;;x
b_alut;Alut;;;;;;;;;;;;;x
b_aluula;Aluula;;;;;;;;;;;;;x
b_ama_oki;Ama;;;;;;;;;;;;;x
b_amabe;Amabe;;;;;;;;;;;;;x
b_amakusa;Amakusa;;;;;;;;;;;;;x
b_amantacop;Amantacop;;;;;;;;;;;;;x
b_amaravati2;Amaravati;;;;;;;;;;;;;x
b_amata;Amata;;;;;;;;;;;;;x
b_amawa;Amawa;;;;;;;;;;;;;x
b_ami;Ami;;;;;;;;;;;;;x
b_amimi;Amimi;;;;;;;;;;;;;x
b_amnat_charoen;Amnat Charoen;;;;;;;;;;;;;x
b_amnok_dongna;Dongna;;;;;;;;;;;;;x
b_amnok_guide;Guide;;;;;;;;;;;;;x
b_amoghe;Amoghe;;;;;;;;;;;;;x
b_ampana;Ampana;;;;;;;;;;;;;x
b_amtaedo;Amtaedo;;;;;;;;;;;;;x
b_amu;Amu;;;;;;;;;;;;;x
b_amuguis;Amuguis;;;;;;;;;;;;;x
b_amulung;Amulung;;;;;;;;;;;;;x
b_amuna;Amuna;;;;;;;;;;;;;x
b_amuntai;Amuntai;;;;;;;;;;;;;x
b_an_hai;An Hai;;;;;;;;;;;;;x
b_an_khe;An Khe;;;;;;;;;;;;;x
b_an_lao;An Lao;;;;;;;;;;;;;x
b_anambra;Anambra;;;;;;;;;;;;;x
b_anayan;Anayan;;;;;;;;;;;;;x
b_anbyon;Anbyon;;;;;;;;;;;;;x
b_anderaccha;Anderaccha;;;;;;;;;;;;;x
b_anding;Anding;;;;;;;;;;;;;x
b_andong;Andong;;;;;;;;;;;;;x
b_andoung_meas;Andoung Meas;;;;;;;;;;;;;x
b_anesakhan;Anesakhan;;;;;;;;;;;;;x
b_anfuxiang;Anfuxiang;;;;;;;;;;;;;x
b_angkona;Angkona;;;;;;;;;;;;;x
b_angkor_borei;Angkor Borei;;;;;;;;;;;;x
b_angkor_wat;Angkor Wat;;;;;;;;;;;;x
b_anhua;Anhua;;;;;;;;;;;;;x
b_anhwasa;Anhwasa;;;;;;;;;;;;;x
b_ani2;Ani;;;;;;;;;;;;;x
b_ani_bizen;Ani;;;;;;;;;;;;;x 
b_anjeyong;Anjeyong;;;;;;;;;;;;;x
b_anju;Anju;;;;;;;;;;;;;x
b_anjukladang;Anjukladang;;;;;;;;;;;;;x
b_ankang;Ankang;;;;;;;;;;;;;x
b_anlung;Anlung;;;;;;;;;;;;;x
b_anning;Anning;;;;;;;;;;;;;x
b_ano;Ano;;;;;;;;;;;;;x
b_anping;Anping;;;;;;;;;;;;;x
b_anpung;Anpung;;;;;;;;;;;;;x
b_anqing;Anqing;;;;;;;;;;;;;x
b_anqiu;Anqiu;;;;;;;;;;;;;x
b_anren;Anren;;;;;;;;;;;;;x
b_anren2;Anren;;;;;;;;;;;;;x
b_ansai;Ansai;;;;;;;;;;;;;x
b_ansan;Ansan;;;;;;;;;;;;;x
b_anshun;Anshun;;;;;;;;;;;;;x
b_anul;Anul;;;;;;;;;;;;;x
b_anwon_agohe;Agohe;;;;;;;;;;;;;x
b_anxiang;Anxiang;;;;;;;;;;;;;x
b_anyang;Anyang;;;;;;;;;;;;;x
b_anyuan;Anyuan;;;;;;;;;;;;;x
b_anyuan2;Anyuan;;;;;;;;;;;;;x
b_anyue;Anyue;;;;;;;;;;;;;x
b_anzhou;Anzhou;;;;;;;;;;;;;x
b_aomen;Aomen;;;;;;;;;;;;;x
b_aomen_cuiheng;Cuiheng;;;;;;;;;;;;;x
b_aomen_hengqin;Hengqin;;;;;;;;;;;;;x
b_aomen_modaojiao;Modaojiao;;;;;;;;;;;;;x
b_aomen_wugui;Wugui;;;;;;;;;;;;;x
b_aomen_xiangshan;Xiangshan;;;;;;;;;;;;;x
b_aomen_xiongzhou;Xiongzhou;;;;;;;;;;;;;x
b_aomi;Aomi;;;;;;;;;;;;;x
b_aomi_niigata;Aomi;;;;;;;;;;;;;x
