#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
KHAN;Khan;;;;;;;;;;;;;x
KHANUM;Khanum;;;;;;;;;;;;;x
emperor_jurchen;Huangdi;Huangdi;Huangdi;;Huangdi;;;;;;;;;x
emperor_female_jurchen;Nuhuang;Nuhuang;Nuhuang;;Nuhuang;;;;;;;;;x
king_jurchen;Wang;Wang;Wang;;Wang;;;;;;;;;x
king_female_jurchen;Nuwang;Nuwang;Nuwang;;Nuwang;;;;;;;;;x
duke_jurchen;Gong;Gong;Gong;;Gong;;;;;;;;;x
count_jurchen;Bo;Bo;Bo;;Bo;;;;;;;;;x
baron_jurchen;Nan;Nan;Nan;;Nan;;;;;;;;;x
title_prince_jurchen;Wangzi;Wangzi;Wangzi;;Wangzi;;;;;;;;;x
title_prince_female_jurchen;Gongzhu;Gongzhu;Gongzhu;;Gongzhu;;;;;;;;;x
vice_royalty_emperor_jurchen;Wangzi;Wangzi;Wangzi;;Wangzi;;;;;;;;;x
vice_royalty_king_jurchen;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
vice_royalty_duke_jurchen;Tongzhi;Tongzhi;Tongzhi;;Tongzhi;;;;;;;;;x
#emperor_jurchen;Diguo;Diguo;Diguo;;Diguo;;;;;;;;;x
#kingdom_jurchen;Wangguo;Wangguo;Wangguo;;Wangguo;;;;;;;;;x
duchy_jurchen;Gongguo;Gongguo;Gongguo;;Gongguo;;;;;;;;;x
county_jurchen;Boguo;Boguo;Boguo;;Boguo;;;;;;;;;x
barony_jurchen;Nanguo;Nanguo;Nanguo;;Nanguo;;;;;;;;;x
#emperor_of_jurchen;Diguo of;Diguo de;Diguo von;;Diguo de;;;;;;;;;x
#kingdom_of_jurchen;Wangguo of;Wangguo de;Wangguo von;;Wangguo de;;;;;;;;;x
duchy_of_jurchen;Gongguo of;Gongguo de;Gongguo von;;Gongguo de;;;;;;;;;x
county_of_jurchen;Boguo of;Boguo de;Boguo von;;Boguo de;;;;;;;;;x
barony_of_jurchen;Nanguo of;Nanguo de;Nanguo von;;Nanguo de;;;;;;;;;x
vice_royalty_empire_of_jurchen;Wangziguo of;Wangziguo de;Wangziguo von;;Wangziguo de;;;;;;;;;x
vice_royalty_kingdom_of_jurchen;Fanzhen of;Fanzhen de;Fanzhen von;;Fanzhen de;;;;;;;;;x
vice_royalty_duchy_of_jurchen;Dao of;Dao de;Dao von;;Dao de;;;;;;;;;x
job_chancellor_jurchen;Guan Shangshang;Guan Shangshang;Guan Shangshang;;Guan Shangshang;;;;;;;;;x
job_marshal_jurchen;Duhu;Duhu;Duhu;;Duhu;;;;;;;;;x
job_treasurer_jurchen;Guan Shang;Guan Shang;Guan Shang;;Guan Shang;;;;;;;;;x
job_spymaster_jurchen;Guan Cong;Guan Cong;Guan Cong;;Guan Cong;;;;;;;;;x
job_spiritual_jurchen;Guan Shi;Guan Shi;Guan Shi;;Guan Shi;;;;;;;;;x
emperor_tibeto_burman_group;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
emperor_female_tibeto_burman_group;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
king_tibeto_burman_group;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
king_female_tibeto_burman_group;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
duke_tibeto_burman_group;rJe;rJe;rJe;;rJe;;;;;;;;;x
duke_female_tibeto_burman_group;Khri bTsun;Khri bTsun;Khri bTsun;;Khri bTsun;;;;;;;;;x
count_tibeto_burman_group;Rgyal-po;Rgyal-po;Rgyal-po;;Rgyal-po;;;;;;;;;x
count_female_tibeto_burman_group;Rgyal-mo;Rgyal-mo;Rgyal-mo;;Rgyal-mo;;;;;;;;;x
baron_tibeto_burman_group;Bdag-po;Bdag-po;Bdag-po;;Bdag-po;;;;;;;;;x
baron_female_tibeto_burman_group;Bdag-mo;Bdag-mo;Bdag-mo;;Bdag-mo;;;;;;;;;x
title_prince_tibeto_burman_group;Lhase;Lhase;Lhase;;Lhase;;;;;;;;;x
title_prince_female_tibeto_burman_group;Kungco;Kungco;Kungco;;Kungco;;;;;;;;;x
#empire_tibeto_burman_group;Tsen;Tsen;Tsen;;Tsen;;;;;;;;;x
#kingdom_tibeto_burman_group;Tsen;Tsen;Tsen;;Tsen;;;;;;;;;x
duchy_tibeto_burman_group;Mnga' Sde;Mnga' Sde;Mnga' Sde;;Mnga' Sde;;;;;;;;;x
county_tibeto_burman_group;Sa-Khul;Sa-Khul;Sa-Khul;;Sa-Khul;;;;;;;;;x
barony_tibeto_burman_group;Mkhar;Mkhar;Mkhar;;Mkhar;;;;;;;;;x
#empire_of_tibeto_burman_group;Tsen of;Tsen de;Tsen von;;Tsen de;;;;;;;;;x
#kingdom_of_tibeto_burman_group;Tsen of;Tsen de;Tsen von;;Tsen de;;;;;;;;;x
duchy_of_tibeto_burman_group;Mnga' Sde of;Mnga' Sde de;Mnga' Sde von;;Mnga' Sde de;;;;;;;;;x
county_of_tibeto_burman_group;Sa-Khul of;Sa-Khul de;Sa-Khul von;;Sa-Khul de;;;;;;;;;x
barony_of_tibeto_burman_group;Mkhar of;Mkhar de;Mkhar von;;Mkhar de;;;;;;;;;x
emperor_tangut;Huangdi;Huangdi;Huangdi;;Huangdi;;;;;;;;;x
emperor_female_tangut;Nuhuang;Nuhuang;Nuhuang;;Nuhuang;;;;;;;;;x
king_tangut;Wang;Wang;Wang;;Wang;;;;;;;;;x
king_female_tangut;Nuwang;Nuwang;Nuwang;;Nuwang;;;;;;;;;x
duke_tangut;Gong;Gong;Gong;;Gong;;;;;;;;;x
count_tangut;Bo;Bo;Bo;;Bo;;;;;;;;;x
baron_tangut;Nan;Nan;Nan;;Nan;;;;;;;;;x
title_prince_tangut;Wangzi;Wangzi;Wangzi;;Wangzi;;;;;;;;;x
title_prince_female_tangut;Gongzhu;Gongzhu;Gongzhu;;Gongzhu;;;;;;;;;x
vice_royalty_emperor_tangut;Wangzi;Wangzi;Wangzi;;Wangzi;;;;;;;;;x
vice_royalty_king_tangut;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
vice_royalty_duke_tangut;Tongzhi;Tongzhi;Tongzhi;;Tongzhi;;;;;;;;;x
#emperor_tangut;Diguo;Diguo;Diguo;;Diguo;;;;;;;;;x
#kingdom_tangut;Wangguo;Wangguo;Wangguo;;Wangguo;;;;;;;;;x
duchy_tangut;Gongguo;Gongguo;Gongguo;;Gongguo;;;;;;;;;x
county_tangut;Boguo;Boguo;Boguo;;Boguo;;;;;;;;;x
barony_tangut;Nanguo;Nanguo;Nanguo;;Nanguo;;;;;;;;;x
#emperor_of_tangut;Diguo of;Diguo de;Diguo von;;Diguo de;;;;;;;;;x
