#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_KO_001;A snow demon is on the loose! A white tiger has terrorised villagers and feasts on their weakened states. It emerged from the cold of this year, evading our bold trackers, leaving destruction and fear in its wake.;Le confucianisme est une religion diverse comportant quatre branches principales : le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTTITLE_KO_001;Tiger Hearted;;;;;;;;;;;;;x
EVTOPTA_KO_001;I will slay the Tiger;Je voudrais tuer le tigre.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_KO_001;I will send my huntsmen;Le Ren, altruisme humain.;J'envoyais mes chasseurs pour rendre le travail.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
prepare_hunters_tiger;You order your royal hunters to get into their stirrups.;;Eure Bediensteten gehen, um den Eunuchen zu holen.;;Tus sirvientes van a buscar al eunuco.;;;;;;;;;x
EVTOPTC_KO_001;They shouldn't of eaten like a feast during Chuseok then, help yourself;Ils n'ont mange pas comme un boufet durant Chuseok!.;Zhong, Loyalität.;;Zhong, lealtad.;;;;;;;;;x;;;;;;;;;;;;
prepare_nothing_tiger;Ain't that the truth.;;Eure Bediensteten gehen, um den Eunuchen zu holen.;;Tus sirvientes van a buscar al eunuco.;;;;;;;;;x
EVTDESC_KO_002;You are on the track of the great white tiger. Your staff have given you free reign, knowing that [From.GetTitledFirstName] is a hunter without equal. What do you say your menfolk should do?;La tradition amidiste est divisée en deux branches principales : le Buddhaksetra et le Dhyana. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Amidhismus ist gekennzeichnet geteilt in zwei Hauptrichtungen: Buddhaksetra und Dhyana. Nach einer Konvertierung könnt Ihr eine davon auswählen.;;La tradición amidista está tradiciones divididas en dos ramas principales: Buddhaksetra y Dhyana. Al convertirte, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_002.1;You crunch through leaves as you go off track in search of the tiger. What do you say your menfolk should do?;La tradition amidiste est divisée en deux branches principales : le Buddhaksetra et le Dhyana. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Amidhismus ist gekennzeichnet geteilt in zwei Hauptrichtungen: Buddhaksetra und Dhyana. Nach einer Konvertierung könnt Ihr eine davon auswählen.;;La tradición amidista está tradiciones divididas en dos ramas principales: Buddhaksetra y Dhyana. Al convertirte, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_002.2;As you avoid horrible terrain you thank god it isn't a leopard but tiger your after. Your menfolk ready their ears and bows as you all are engaged in silent competition.;La tradition amidiste est divisée en deux branches principales : le Buddhaksetra et le Dhyana. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Amidhismus ist gekennzeichnet geteilt in zwei Hauptrichtungen: Buddhaksetra und Dhyana. Nach einer Konvertierung könnt Ihr eine davon auswählen.;;La tradición amidista está tradiciones divididas en dos ramas principales: Buddhaksetra y Dhyana. Al convertirte, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_002;Bring out some bait and wait;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_KO_002;Camp by an affected village with your horses;Reste a la rendez-vous avec vos chevales.;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_KO_002;Let's observe the folk saying "Talk of tigers and they are sure to come".;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_003;You feel bad throwing away a whole lamb, but are sure the tiger will feel worse. You wait playing two rounds of Yunnori with Marshal [Root.job_marshal.GetTitledFirstName] until you hear intense bleating from behind the thicket. The beast has returned. Rushing to your saddle and with the dogs disappearing you make a decision.;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_003;Try to lure the cat into the clear.;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_KO_003;Charge!;Allons-Y!;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_KO_003;Ride around the tiger.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_004;Part of the company rides to the edge of the forest. You wait on your trained dogs to wear down the prey. Soon enough through the fog the Great White Hope appears on the edge of the new terrain. You ready your spears and safe in numbers surround the tiger. As you draw near, you see the tiger bristling with wrath as you spear it to death from all sides..;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_004;I dub you polecat.;Votre nouveaux nom est Polechat;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_005;Your company rides out to the forest edge. After a few minutes you hear confused yelps in the woods. It transpires the hunt is finished, the tiger is not anywhere near and two dogs need good help.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_005;Mongrols!.;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_006;The trapped tiger looks a blurred black, white and red mess as the lance approaches. The point goes clean by her neck and is buried in the ground behind the body. You take the game back to the homestead.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_006;Phew! Did it look as good as it felt?;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_007;Your horse bursts through the bushes. You trample a huntsdog by mistake, slowing down you notice your dogs scattering left and right. No amount of whistling brings the dogs closer as you suddenly see the tigeress has made a stop and has two cubs. You charge into the tiger but miss. The tiger jumps on you and your men quickly surround you.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_007;His Magesty is dying out here!;Son eminence est en travers de mort ici.;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_008;Your horse bursts through the bushes and trips over a large exposed root. You hear a snap and are flung into half eaten lamb. While you curse the loss your men stream past you in pursuit of the Tiger.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_008;Drats!.;Zut!;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_009;You set after the tiger at a furious pace. The tiger doesn't let but your party are enjoying the chase. After a hearty chase you circle around the animal in ever smaller circles toying with it. The big cat goes mad with indecision and utterly exhausted is bled to death by periodic sword swipes. You feel that it died inside before leaving its mortal coil.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_009;The fur is mine.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_010;You set after the tiger at a furious pace. The tiger doesn't let but your party are enjoying the chase. After a hearty chase you circle around the animal in ever smaller circles toying with it. The big cat goes mad with indecision and utterly exhausted is bled to death by periodic sword swipes. You feel that it died inside before leaving its mortal coil. Also two tiger cubs are found.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_010;Besides my fur these will make nice gifts for a certain someone.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_KO_010;Spare the spares.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_KO_011;You camp outside a village after reassuring the village elder. The villagers are throwing a fete for a newly married couple, you and your men are keeping vigilence from a distance.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_KO_011;It would be shameful to give up;;;;;;;;;;;;;x;;;;;;;;;;;;
