#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_chinese_group;Huangdi;Huangdi;Huangdi;;Huangdi;;;;;;;;;x
emperor_female_chinese_group;Nuhuang;Nuhuang;Nuhuang;;Nuhuang;;;;;;;;;x
king_chinese_group;Wang;Wang;Wang;;Wang;;;;;;;;;x
king_female_chinese_group;Nuwang;Nuwang;Nuwang;;Nuwang;;;;;;;;;x
duke_chinese_group;Gongjue;Gongjue;Gongjue;;Gongjue;;;;;;;;;x
duke_female_chinese_group;Gongjuefuren;Gongjuefuren;Gongjuefuren;;Gongjuefuren;;;;;;;;;x
#count_chinese_group;Bojue;Bojue;Bojue;;Bojue;;;;;;;;;x
#count_female_chinese_group;Bojuefuren;Bojuefuren;Bojuefuren;;Bojuefuren;;;;;;;;;x
count_chinese_group;Cishi;Cishi;Cishi;;Cishi;;;;;;;;;x
count_female_chinese_group;Cishifuren;Cishifuren;Cishifuren;;Cishifuren;;;;;;;;;x
#baron_chinese_group;Nanjue;Nanjue;Nanjue;;Nanjue;;;;;;;;;x
#baron_female_chinese_group;Nanjuefuren;Nanjuefuren;Nanjuefuren;;Nanjuefuren;;;;;;;;;x
baron_chinese_group;Xianling;Xianling;Xianling;;Xianling;;;;;;;;;x
baron_female_chinese_group;Xianlingfuren;Xianlingfuren;Xianlingfuren;;Xianlingfuren;;;;;;;;;x
vice_royalty_emperor_chinese_group;Fuhuangdi;Fuhuangdi;Fuhuangdi;;Fuhuangdi;;;;;;;;;x
vice_royalty_emperor_female_chinese_group;Nufuhuangdi;Nufuhuangdi;Nufuhuangdi;;Nufuhuangdi;;;;;;;;;x
#vice_royalty_king_chinese_group;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
vice_royalty_king_chinese_group;Dadudu;Dadudu;Dadudu;;Dadudu;;;;;;;;;x
#vice_royalty_king_female_chinese_group;Jiedushifuren;Jiedushifuren;Jiedushifuren;;Jiedushifuren;;;;;;;;;x
vice_royalty_king_female_chinese_group;Dadudufuren;Dadudufuren;Dadudufuren;;Dadudufuren;;;;;;;;;x
#vice_royalty_duke_chinese_group;Zhouzhang;Zhouzhang;Zhouzhang;;Zhouzhang;;;;;;;;;x
vice_royalty_duke_chinese_group;Jiedushi;Jiedushi;Jiedushi;;Jiedushi;;;;;;;;;x
#vice_royalty_duke_female_chinese_group;Zhouzhangfuren;Zhouzhangfuren;Zhouzhangfuren;;Zhouzhangfuren;;;;;;;;;x
vice_royalty_duke_female_chinese_group;Jiedushifuren;Jiedushifuren;Jiedushifuren;;Jiedushifuren;;;;;;;;;x
duchy_chinese_group;Gongguo;Gongguo;Gongguo;;Gongguo;;;;;;;;;x
#county_chinese_group;Boguo;Boguo;Boguo;;Boguo;;;;;;;;;x
county_chinese_group;Zhou;Zhou;Zhou;;Zhou;;;;;;;;;x
#barony_chinese_group;Nanguo;Nanguo;Nanguo;;Nanguo;;;;;;;;;x
barony_chinese_group;Xian;Xian;Xian;;Xian;;;;;;;;;x
duchy_of_chinese_group;Gongguo of;Gongguo de;Gongguo von;;Gongguo de;;;;;;;;;x
#county_of_chinese_group;Boguo of;Boguo de;Boguo von;;Boguo de;;;;;;;;;x
county_of_chinese_group;Zhou of;Zhou de;Zhou von;;Zhou de;;;;;;;;;x
#barony_of_chinese_group;Nanguo of;Nanguo de;Nanguo von;;Nanguo de;;;;;;;;;x
barony_of_chinese_group;Xian of;Xian de;Xian von;;Xian de;;;;;;;;;x
#vice_royalty_kingdom_chinese_group;Fanzhen;Fanzhen;Fanzhen;;Fanzhen;;;;;;;;;x
vice_royalty_kingdom_chinese_group;Dao;Dao;Dao;;Dao;;;;;;;;;x
#vice_royalty_duchy_chinese_group;Dao;Dao;Dao;;Dao;;;;;;;;;x
vice_royalty_duchy_chinese_group;Fanzhen;Fanzhen;Fanzhen;;Fanzhen;;;;;;;;;x
#vice_royalty_kingdom_of_chinese_group;Fanzhen of;Fanzhen de;Fanzhen von;;Fanzhen de;;;;;;;;;x
vice_royalty_kingdom_of_chinese_group;Dao of;Dao de;Dao von;;Dao de;;;;;;;;;x
#vice_royalty_duchy_of_chinese_group;Dao of;Dao de;Dao von;;Dao de;;;;;;;;;x
vice_royalty_duchy_of_chinese_group;Fanzhen of;Fanzhen de;Fanzhen von;;Fanzhen de;;;;;;;;;x
emperor_japonic;Kotei;Kotei;Kotei;;Kotei;;;;;;;;;x
emperor_female_japonic;Kogo;Kogo;Kogo;;Kogo;;;;;;;;;x
king_japonic;O;O;O;;O;;;;;;;;;x
king_female_japonic;Joo;Joo;Joo;;Joo;;;;;;;;;x
duke_japonic;Koshaku;Koshaku;Koshaku;;Koshaku;;;;;;;;;x
duke_female_japonic;Koshakufujin;Koshakufujin;Koshakufujin;;Koshakufujin;;;;;;;;;x
count_japonic;Hakushaku;Hakushaku;Hakushaku;;Hakushaku;;;;;;;;;x
count_female_japonic;Hakushakufujin;Hakushakufujin;Hakushakufujin;;Hakushakufujin;;;;;;;;;x
baron_japonic;Danshaku;Danshaku;Danshaku;;Danshaku;;;;;;;;;x
