# TIANXIATODO: Sort
# Tooltips
cares_more_about_dynasty;§YFollowers of this religion have§! §Gincreased Fertility§! §Yand§! §Gdynasty opinion§!§Y, but also§! §Ra considerably lower opinion of all manner of Kinslayers§!§!;;;;;;;;;;;;;x
piety_for_groom_an_heir;§GCharacters following this religion receive extra [This.Religion.GetPietyName] when completing the§! §YGroom an Heir§! §Gambition§!;;;;;;;;;;;;;x
tooltip_can_search_for_guru;Characters following this religion have access to the §YSearch for a Guru§! decision;;;;;;;;;;;;;x
tooltip_healthy;Characters following this religion gain §G+1 Health§!;;;;;;;;;;;;;x
tooltip_reincarnation_events;§GFollowers of this religion might turn out to be the reincarnation of an ancestor§!;;;;;;;;;;;;;x
tooltip_religion_self_improvment;§GFollowers of the religion have access to ambitions to remove undesirable traits§!;;;;;;;;;;;;;x
tooltip_religion_feature_ryukyuan_three_mountains_1;Gets access to the powerful §GRyukyuan Subjugation§! casus belli;;;;;;;;;;;;;x
tooltip_religion_feature_ryukyuan_three_mountains_2;§RRulers following this religion are more likely to seek independence§!;;;;;;;;;;;;;x
tooltip_religion_feature_ryukyuan_three_mountains_3;§RRulers following this religion are more likely to back their own claims§!;;;;;;;;;;;;;x
tooltip_religion_feature_ryukyuan_three_mountains_4;§RThe Conclave Vassal War law is locked to "Allowed"§!;;;;;;;;;;;;;x
tooltip_religion_feature_ryukyuan_three_mountains_5;§RThe Charlemagne Viceroyalty law is locked to "No Viceroyalties"§!;;;;;;;;;;;;;x
tooltip_divine_ancestry_bloodline;§GThe reformer becomes the founder of a new§! §YDivine Ancestry§! §Gbloodline, increaseing the opinion of all co-religionists§!;;;;;;;;;;;;;x
gets_special_succession_law_if_divine_imperial;If the reformer becomes §YDivine Imperial§! they will be locked into a §Yspecial succession law§!;;;;;;;;;;;;;x
tooltip_spiritual_stat_boost_decision;§GGains access to a special decision to study religious scriptures for insights allowing for the temporarily increase of a character attribute§!;;;;;;;;;;;;;x
tooltip_religion_feature_dynamic_lesser;[GetPreferredReformationAttributeLesser];[GetPreferredReformationAttributeLesser];[GetPreferredReformationAttributeLesser];;[GetPreferredReformationAttributeLesser];;;;;;;;;x
tooltip_religion_feature_diplomacy_lesser;§GFollowers of this religion gain +1 base Diplomacy§!;§GLes fidèles obtiennent +1 en diplomatie de base§!;§GAnhänger dieser Religion erhalten +1 auf ihre Diplomatie§!;;§GLos seguidores de esta religión ganan +1 diplomacia básica§!;;;;;;;;;x
tooltip_religion_feature_martial_lesser;§GFollowers of this religion gain +1 base Martial§!;§GLes fidèles obtiennent +1 en martialité de base§!;§GAnhänger dieser Religion erhalten +1 auf ihre Kriegskunst§!;;§GLos seguidores de esta religión ganan +1 marcial básica§!;;;;;;;;;x
tooltip_religion_feature_stewardship_lesser;§GFollowers of this religion gain +1 base Stewardship§!;§GLes fidèles obtiennent +1 en intendance de base§!;§GAnhänger dieser Religion erhalten +1 auf ihre Verwaltung§!;;§GLos seguidores de esta religión ganan +1 administración básica§!;;;;;;;;;x
tooltip_religion_feature_intrigue_lesser;§GFollowers of this religion gain +1 base Intrigue§!;§GLes fidèles obtiennent +1 en intrigue de base§!;§GAnhänger dieser Religion erhalten +1 auf ihre Intrige§!;;§GLos seguidores de esta religión ganan +1 intriga básica§!;;;;;;;;;x
tooltip_religion_feature_learning_lesser;§GFollowers of this religion gain +1 base Learning§!;§GLes fidèles obtiennent +1 en érudition de base§!;§GAnhänger dieser Religion erhalten +1 auf ihre Bildung§!;;§GLos seguidores de esta religión ganan +1 conocimientos básica§!;;;;;;;;;x
tooltip_religion_overseas_conquests;The §YPagan County Conquest§! casus belli can be used against overseas targets.;;;;;;;;;;;;;x
has_relevant_divine_ancestry_bloodline;Belongs to the appropriate §YDivine Ancestry§! bloodline.;;;;;;;;;;;;;x
can_negotiate_naps;§GCan negotiate Non-Aggression Pacts§!;;;;;;;;;;;;;x
prestige_piety_gold_cb_draw_loss_cost_modifier;§GLosing a war or signing a white peace as the attacker carries smaller Prestige, Piety, and Gold costs.§!\n§GWinning a war or signing a white peace as the defender results in greater Prestige, Piety, and Gold rewards.§!;;;;;;;;;;;;;x
no_conquest_cb_tooltip;§RReligion will NOT have access to the Pagan County Conquest casus belli or any similar casus belli.§!;;;;;;;;;;;;;x
despoilation_cb_potentially_available;If this religion has the §YWarmongering§! Nature the §YDespoil Kingdom§! casus belli will be available for characters following this religion.;;;;;;;;;;;;;x
plunder_capital_cb_available;§GThe Plunder Capital casus belli is available for characters following this religion.§!;;;;;;;;;;;;;x
tribal_invasions_available;§GThe Tribal Invasion casus belli is available for characters following this religion.§!;;;;;;;;;;;;;x
strong_claim_duels_allowed_tooltip;§YClaimants of this religion with a strong claim can challenge the title holder to a duel to decide who should possess the title.§!;;;;;;;;;;;;;x
adventurer_hosts_available_tooltip;§YCharacters following this religion can potentially become Adventurers and Raiding Adventurers even without a claim.§!;;;;;;;;;;;;;x
adventurer_hosts_more_frequent_tooltip;§YCharacters following this religion are more likely to become Adventurers and Raiding Adventurers.§!;;;;;;;;;;;;;x
adventurer_hosts_stronger_tooltip;§YAdventurers and Raiding Adventurers have more troops.§!;;;;;;;;;;;;;x
special_trade_opportunities_tooltip;§GCharacters following this religion might get special trade opportunities, particularly if located along a trade route or if in a Merchant Republic.§!;;;;;;;;;;;;;x
alchemist_society_access;§GCharacters with this religion can join [the_alchemists.GetSocietyName].§!;;;;;;;;;;;;;x
court_alchemist_access;§GRulers can employ Court Alchemists.§!;;;;;;;;;;;;;x
might_allow_looting_tooltip;§YUnless Peaceful, Cosmopolitan, or Tolerant, characters following this religion will be able to raid.§!;;;;;;;;;;;;;x

# Unique Doctrines
religion_feature_ainu;The Spirits' Will;;;;;;;;;;;;;x
religion_feature_ainu_desc;The spirits of the world are powerful and wise, and we must determine and heed their will.;;;;;;;;;;;;;x
religion_feature_ainu_2;Enriching the Ancestors;;;;;;;;;;;;;x
religion_feature_ainu_2_desc;Our deceased ancestors should be revered, and riches must be acquired to allow for grand sacrifices to them.;;;;;;;;;;;;;x
religion_feature_andamanese;Old and New;;;;;;;;;;;;;x
religion_feature_andamanese_desc;While we must not forget the wisdom of our ancestors, we must adapt our approach to the world.;;;;;;;;;;;;;x
religion_feature_andamanese_2;Untold Riches;;;;;;;;;;;;;x
religion_feature_andamanese_2_desc;Together, we will prove to all that would think less of us that nothing they possess will remain theirs.;;;;;;;;;;;;;x
religion_feature_aztec;Invaders;Envahisseurs;Invasoren;;Invasores;;;;;;;;;x
religion_feature_aztec_desc;Our warriors must be ruthless and our armies unyielding if we wish to satiate the gods with the bountiful cattle roaming this New World.;Nos guerriers doivent être impitoyables et nos armées inflexibles si nous voulons satisfaire les dieux avec le bétail de ce Nouveau Monde.;Unsere Krieger müssen rücksichtslos und unsere Armeen unnachgiebig sein, wenn wir die Götter mit dem reichhaltigen Vieh besänftigen wollen, dass durch diese Neue Welt streift.;;Nuestros guerreros deben ser despiadados y nuestros ejércitos inflexibles si queremos saciar a los dioses con el abundante ganado que recorre este Nuevo Mundo.;;;;;;;;;x
religion_feature_aztec_feature;Rulers follow the Aztec principles of human sacrifices, seafaring and relentlessness;Les seigneurs suivent les principes aztèques des sacrifices humains, de la navigation et de l'implacabilité;Herrscher folgen den aztekischen Prinzipien von Menschenopfern, Seefahrt und Erbarmungslosigkeit;;Los gobernantes siguen los principios aztecas de sacrificios humanos, navegación e implacabilidad;;;;;;;;;x
religion_feature_bai;Wisdom of the Ancients;;;;;;;;;;;;;x
religion_feature_bai_desc;Our forefathers knew that peace was just as important as war, a lesson we should not forget.;;;;;;;;;;;;;x
religion_feature_bai_2;For Our People;;;;;;;;;;;;;x
religion_feature_bai_2_desc;The pursuit of spiritual enlightenment will benefit us all, as will a powerful army to defend our people.;;;;;;;;;;;;;x
religion_feature_baltic;Defending Our Ways;;;;;;;;;;;;;x
religion_feature_baltic_desc;We must stand strong to survive the assaults of other religions. Only the best among us will survive to preserve the memory of the gods.;;;;;;;;;;;;;x
religion_feature_baltic_2;Beyond Our Shores;;;;;;;;;;;;;x
religion_feature_baltic_2_desc;Beyond our shores lie many opportunities. We would be fools to ignore them.;;;;;;;;;;;;;x
religion_feature_bamar;Sacred Wisdom;;;;;;;;;;;;;x
religion_feature_bamar_desc;We must ensure that those truly devoted to our religion can dedicate their lives to it, and heed their wisdom.;;;;;;;;;;;;;x
religion_feature_bamar_2;Great Temples;;;;;;;;;;;;;x
religion_feature_bamar_2_desc;Great temples must be built to please the divine. We should acquire the resources of our neighbors to make this possible.;;;;;;;;;;;;;x
