#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#The society name
flower_knights;Flower Knights;;;;;;;;;;;;;x
string_flower_knights;flower_knights;;;;;;;;;;;;;x
#The society description
flower_knights_desc;An organization dedicated to cultivating young nobles.;;;;;;;;;;;;;x
#Leader description
flower_knights_leader_desc;The Grand Master of the Flower Knights.;;;;;;;;;;;;;x
#Name of the ranks
flower_knights_rank_1_female;Nynangdo;;;;;;;;;;;;;x
flower_knights_rank_2_female;Junjeong;;;;;;;;;;;;;x
flower_knights_rank_3_female;Nammo;;;;;;;;;;;;;x
flower_knights_rank_4_female;Wonhwa;;;;;;;;;;;;;x
flower_knights_rank_1_male;Nangdo;;;;;;;;;;;;;x
flower_knights_rank_2_male;Hwarang;;;;;;;;;;;;;x
flower_knights_rank_3_male;Wonsanghwa;;;;;;;;;;;;;x
flower_knights_rank_4_male;Pungsolju;;;;;;;;;;;;;x
#Name of the currency
flower_knights_currency;Grace;;;;;;;;;;;;;x
currency_name_flower_knights;Grace;;;;;;;;;;;;;x
#Rank up button name
request_to_rank_up_within_flower_knights;Request to rank up.;;;;;;;;;;;;;x
#For tooltip that require being a member
IS_flower_knights_TRIGGER;Is a member of the Flower Knights.;;;;;;;;;;;;;x
#Rank up decision if you made a custom one, alongside the required custom_local
request_to_rank_up_within_flower_knights_desc;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_flower_knights_tt;Has §Y[Root.Society.GetCurrency]§! greater or equal to [Root.GetSocietyRankUpTooltip1];;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank1;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank2;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x
GetTutorialRankUpTooltip_Standard_Rank3;§Y[Root.Society.GetCurrency]§!;;;;;;;;;;;;;x

#Name of the decision
flower_knights_power_1;Study Martial Arts;;;;;;;;;;;;;x
#Tooltip of the decision
flower_knights_power_1_desc;Besides the 108 weapons you can request a monk to enpower two: your bare hands and feet.;;;;;;;;;;;;;x
#Tooltip of the decision in the society menu
flower_knights_power_1_power_desc;Contact a monk for a martial arts lesson.;;;;;;;;;;;;;x

flower_knights_power_2;Aquire a horse;;;;;;;;;;;;;x
flower_knights_power_2_desc;As an officer it is only right you ride a horse.;;;;;;;;;;;;;x
flower_knights_power_2_power_desc;Fetch a horse from the Flower Knight's stables.;;;;;;;;;;;;;x

flower_knights_power_3;Apply makeup;;;;;;;;;;;;;x
flower_knights_power_3_desc;As you make your path in high society you want to look radient.;;;;;;;;;;;;;x
flower_knights_power_3_power_desc;Enquire for the finest powder, eyeliner and lipstick.;;;;;;;;;;;;;x 

flower_knights_power_4;Summon Hwarang;;;;;;;;;;;;;x
flower_knights_power_4_desc;Summon the youth to form a Hwarang brigade.;;;;;;;;;;;;;x
flower_knights_power_4_power_desc;All the lowest member's will be mobilized for combat.;;;;;;;;;;;;;x  
 
#This event is for joining
EVTDESC_Hwarang_102;You are told to travel to the Goose Forest and at your location to your suprise meet [hwarang_welcomer.GetTitledFirstName] who is a [From.GetSocietyRank]. He wanders with you asking you about poetry and various properties of the forest. Finally he asks if you would care to join the Hwarang?;;;;;;;;;;;;;x
EVTDESC_Hwarang_102.1;You recieve a missive requesting you to journey, alone, to the Roster Forest. After a wrong turn you meet [hwarang_welcomer.GetTitledFirstName], his makeup making him resemble a forest animal. You keep waiting for the initiation test, yet no gangs of youths appear in your walk. At the end of a path he asks if you could join the Hwarang?;;;;;;;;;;;;;x
EVTDESC_Hwarang_102.2;After recieving a letter you were given leave to the woodlands of the Half Moon Fortress. The chirps of insects drone as you climb a hill for initiation. At the top, fixing a woodern pole into the earth is [hwarang_welcomer.GetTitledFirstName]. He warns that if you join your first task is to carry his equipment down the hill.;;;;;;;;;;;;;x
EVTDESC_Hwarang_102.3;You were told to meet [hwarang_welcomer.GetTitledFirstName], of [From.GetSocietyRank] rank, at the Duck Moat. You spot him and his reflection practicing marital arts with breathtaking grace. A mixture of awe and fear command your heart, you run up to him to make up for time gawking. Straight to the point, he asks if you would join the Hwarang?;;;;;;;;;;;;;x
EVTDESC_Hwarang_102.4;You are dressed in the morning and to your suprise [hwarang_welcomer.GetTitledFirstName] is in the other room. Over some ground ginseng he suggests you go for a walk together, without your bodyguard. You agree and set off to Cistern Grove by foot, he introduces you to birds and trees as you tred a faint path. As you watch the city from above he ;;;;;;;;;;;;;x
EVTOPTA_Hwarang_102;Ye.;;;;;;;;;;;;;x
EVTOPTB_Hwarang_102;I'm not so sure anymore.;;;;;;;;;;;;;x

#This event is for rank up
EVTDESC_Hwarang_122;Greetings [Root.GetSocietyRank] [Root.GetFirstName],\nYou can rank up. [Root.Society.GetName].\n\nSigned,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_Hwarang_122;Great.;;;;;;;;;;;;;x

#Name for a quest
quest_flower_knights_quest_1;Learn Martial Arts;;;;;;;;;;;;;x
#Name for a quest if there is no quest target
quest_flower_knights_quest_1_fallback;Press the button;;;;;;;;;;;;;x
quest_flower_knights_quest_1_desc;Press the button and gain gold!;;;;;;;;;;;;;x
quest_flower_knights_quest_1_tooltip;Press the button in the intrige menu.;;;;;;;;;;;;;x

#Start Quest event
EVTDESC_Hwarang_141;You want a quest?;;;;;;;;;;;;;x

#End Quest event
EVTDESC_Hwarang_142;You want to complete or fail the quest?;;;;;;;;;;;;;x
EVTOPTA_Hwarang_142;Complete it.;;;;;;;;;;;;;x
EVTOPTB_Hwarang_142;Fail it..;;;;;;;;;;;;;x

#End Quest event
EVTDESC_Hwarang_150;Here be the event text.;;;;;;;;;;;;;x
EVTOPTA_Hwarang_150;Choice 1.;;;;;;;;;;;;;x
EVTOPTB_Hwarang_150;Choice 2..;;;;;;;;;;;;;x


EVTDESC_Hwarang_218.1;You are finally old enough to join the Hwarang. You've been thinking of enlisting since they staged that Taekwondo exhibition. [Root.Guardian.GetTitledFirstName] should be favorable.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218.1;I will ask right away;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_218.1;They seem a bit effeminate;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_218;Dear [Root.Guardian.GetTitledFirstName] I have decided I want to join the Hwarang and do good service for the country. Please accept this arrangement and I'll be forever grateful.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218;Of course my boy!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_218;It is too dangerous;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_Hwarang_218;How about you become my personal aide?;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_218.2;[From.GetTitledFirstName] interupts your reading of the Three Scholarly Occupations and sits with you. [From.GetHeShe] has agreed to let you join the Hwarang and do good for your country.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218.2;Hwaaa!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_218.3;[From.GetTitledFirstName] interupts your reading of the Three Scholarly Occupations and sits with you. [From.GetHeShe] has gently tells you joining the Hwarang puts you at unneccesary risk.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218.3;That [GetRootFromInsult]!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_218.3;I'll steal his seal and join.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_218.4;[From.GetTitledFirstName] interupts your reading of the Three Scholarly Occupations. While you can't be a Hwarang you definately could make a fine little assistant.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218.4;Really!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_218.4;Join in secret.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_218.5;It transpires that [From.GetTitledFirstName] has joined the Flower Knights in secret!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_218.5;Well, too late.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_218.5;That [GetRootFromInsult]!;;;;;;;;;;;;;x;;;;;;;;;;;;

EVTDESC_Hwarang_219.1;[wounded_hwarang.GetTitledFirstName] is injured and it is my duty to help all Hwarangs! I will treat him to my best ability.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_219.1;I'll make a mud cast with herbs embedded.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_219.1;A sling should do;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_Hwarang_219.1;Ignore him.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_219.2;[FROM.GetTitledFirstName] has treated my wounded arm by making a mud-cast.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_219.2;I owe you one.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_219.3;[FROM.GetTitledFirstName] has made me a sling and, while the pain throbs, at least there is no jolting pain.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_219.3;Thank you.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_219;It is reported [FromFrom.GetTitledFirstName] has healed his fellow Hwarang [From.GetTitledFirstName]. His skills are being put to good use;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_219;Really!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_219;I don't want to hear more of this.;;;;;;;;;;;;;x;;;;;;;;;;;;

EVTDESC_Hwarang_220.1;The local village of Son-Chu looks a heap, you ask a farmer if he needs help, whether with bandits or missing cats. He replies they have ate all the cats and need help with the harvest. You look at the clay-slated field and have an idea.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_220.12;The local village of Sangwang looks a heap, you ask a farmer if he needs help, whether with bandits or missing cats. He replies they have ate all the cats and need help with the harvest. You look at the clay-slated field and have an idea.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_220.13;The local village of Dolmudom looks a heap, you ask a farmer if he needs help, whether with bandits or missing cats. He replies they have ate all the cats and need help with the harvest. You look at the clay-slated field and have an idea.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_220.1;You should pray to better dieties!;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_Hwarang_220.1;Maybe you should leave the area?;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_Hwarang_220.1;I should bring earthworms to help.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_Hwarang_220.1;Bring sand, filth and earthworms!;;;;;;;;;;;;;x;;;;;;;;;;;;

EVTDESC_Hwarang_220.2;Your suggestion properly explained has a calming effect on the population. They agree they'll call a Mu-Dang from the Jeolla region next time who has better knowledge of the trinity's temperance.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_220.2;It is wise to have a third opinion.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_220.3;Perhaps being put on the spot gave you a bad hand, in any case the village don't look like they'll take your short handed response seriously.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_Hwarang_220.3;Oh well, their loss.;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_Hwarang_220.4;A burley man identified as the local Mu-Dang's son takes offense to your comment. He demands "the fortunate" to apologize in front of the village.;;;;;;;;;;;;;x;;;;;;;;;;;;
