EVTDESC_SOH_4401;The peasants in [foreigner_landfall_province.GetName] recently encountered a foreign shipwreck. One of the surviving members of the crew is [foreigner_in_japan.GetBestName], a [foreigner_in_japan.GetManWoman] supposedly from [foreigner_origin_province.GetName]. [foreigner_in_japan.GetSheHeCap] has indicated that [foreigner_in_japan.GetSheHe] wishes to enter my service.;;;;;;;;;;;;;x
EVTOPTA_SOH_4401;Foreginers are not welcome here!;;;;;;;;;;;;;x
EVTOPTB_SOH_4401;I welcome you to my court!;;;;;;;;;;;;;x
EVTDESC_SOH_4403;I have recently been spending some time in the company of [foreigners_target.GetBestName], and though the two of us had little knowledge of one another previously we are getting along quite well. In fact, I think the two of us are becoming friends.;;;;;;;;;;;;;x
EVTOPTA_SOH_4403;That can only mean good things!;;;;;;;;;;;;;x
EVTDESC_SOH_4404;I recently spent some time in the company of [From.GetBestName], and though [From.GetSheHe] was something of an unknown to me previously I feel that the two of us already have become friends. After all, we share quite a few opinions and interests.;;;;;;;;;;;;;x
EVTOPTA_SOH_4404;I'm sure this means good things!;;;;;;;;;;;;;x
EVTDESC_SOH_4405;It seems [From.GetBestName] and [foreigners_target.GetBestName] have gotten quite close as of late. It certainly is good to know that [From.GetBestName] can make friends this far from home.;;;;;;;;;;;;;x
EVTOPTA_SOH_4405;Good for them, I suppose...;;;;;;;;;;;;;x
EVTDESC_SOH_4406;I have recently been spending some time in the company of [foreigners_target.GetBestName]. I had thought that maybe we could put our many differences aside, but it is clear that that is not the case, and I do not want to speak to [foreigners_target.GetHerHim] ever again.;;;;;;;;;;;;;x
EVTOPTA_SOH_4406;I hate [foreigners_target.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_4407;I recently spent some time in the company of [From.GetBestName]. [From.GetSheHeCap] was previously something of an unknown to me, and now I know more than enough about [From.GetHerHim] to tell that [From.GetSheHe] is a thoroughly unpleasant individual.;;;;;;;;;;;;;x
EVTOPTA_SOH_4407;I hate [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_4408;The latest court gossip that has reached my ears indicate that [From.GetBestName] and [foreigners_target.GetBestName] now hate each other. It is a bit unclear just what happened, but it appears to have been something recent.;;;;;;;;;;;;;x
EVTOPTA_SOH_4408;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_4409;Though I have long known that [From.GetBestName] considers [From.GetHerselfHimself] something of a warrior it was still quite surprising when [From.GetSheHe] approached me today and asked me to help [From.GetHerHim] join the Warriors of the Rising Sun, as that certainly is not what I would expect from a foreigner.;;;;;;;;;;;;;x
EVTOPTA_SOH_4409;I will vouch for you!;;;;;;;;;;;;;x
EVTOPTB_SOH_4409;I will train you myself!;;;;;;;;;;;;;x
EVTOPTC_SOH_4409;You don't deserve such an honor!;;;;;;;;;;;;;x
EVTDESC_SOH_4410;[From.GetBestName] has let me know that [From.GetSheHe] will vouch for me and that the Warriors of the Rising Sun should be willing to let me join based on that. [From.GetSheHeCap] has told me that this is quite the honor, and that [From.GetSheHe] expects great things from me.;;;;;;;;;;;;;x
