#GETFEUDALEMPEROR;[GetEmperorTitleFeudal];[GetEmperorTitleFeudal];[GetEmperorTitleFeudal];;[GetEmperorTitleFeudal];;;;;x
#GETFEUDALEMPRESS;[GetEmperorFemaleTitleFeudal];[GetEmperorFemaleTitleFeudal];[GetEmperorFemaleTitleFeudal];;[GetEmperorFemaleTitleFeudal];;;;;x
#GETMREMPEROR;[GetEmperorTitleMR];[GetEmperorTitleMR];[GetEmperorTitleMR];;[GetEmperorTitleMR];;;;;x
#GETMREMPRESS;[GetEmperorFemaleTitleMR];[GetEmperorFemaleTitleMR];[GetEmperorFemaleTitleMR];;[GetEmperorFemaleTitleMR];;;;;x
#GETTRIBALEMPEROR;[GetEmperorTitleTribal];[GetEmperorTitleTribal];[GetEmperorTitleTribal];;[GetEmperorTitleTribal];;;;;x
#GETTRIBALEMPRESS;[GetEmperorFemaleTitleTribal];[GetEmperorFemaleTitleTribal];[GetEmperorFemaleTitleTribal];;[GetEmperorFemaleTitleTribal];;;;;x
#GETNOMADICEMPEROR;[GetEmperorTitleNomadic];[GetEmperorTitleNomadic];[GetEmperorTitleNomadic];;[GetEmperorTitleNomadic];;;;;x
#GETNOMADICEMPRESS;[GetEmperorFemaleTitleNomadic];[GetEmperorFemaleTitleNomadic];[GetEmperorFemaleTitleNomadic];;[GetEmperorFemaleTitleNomadic];;;;;x
#GETCIEMPEROR;[GetEmperorTitleCI];[GetEmperorTitleCI];[GetEmperorTitleCI];;[GetEmperorTitleCI];;;;;x
#GETCIEMPRESS;[GetEmperorFemaleTitleCI];[GetEmperorFemaleTitleCI];[GetEmperorFemaleTitleCI];;[GetEmperorFemaleTitleCI];;;;;x
#GETEIEMPEROR;[GetEmperorTitleEI];[GetEmperorTitleEI];[GetEmperorTitleEI];;[GetEmperorTitleEI];;;;;x
#GETEIEMPRESS;[GetEmperorFemaleTitleEI];[GetEmperorFemaleTitleEI];[GetEmperorFemaleTitleEI];;[GetEmperorFemaleTitleEI];;;;;x
#GETCULTURALEMPEROR;[GetCulturalEmperorTitle];[GetCulturalEmperorTitle];[GetCulturalEmperorTitle];;[GetCulturalEmperorTitle];;;;;x
#GETCULTURALEMPRESS;[GetCulturalEmperorFemaleTitle];[GetCulturalEmperorFemaleTitle];[GetCulturalEmperorFemaleTitle];;[GetCulturalEmperorFemaleTitle];;;;;x
TENNO;Tenno;Tenno;Tenno;;Tenno;;;;;x
#TENNO_FEMALE;[GetTennoKogoChugu];[GetTennoKogoChugu];[GetTennoKogoChugu];;[GetTennoKogoChugu];;;;;x
TENNO_FEMALE;Kogo;Kogo;Kogo;;Kogo;;;;;x
KOGO_TITLE;Kogo;Kogo;Kogo;;Kogo;;;;;x
CHUGU;Chugu;Chugu;Chugu;;Chugu;;;;;x
TENNO_FOA;Your Imperial Majesty;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
PRINCEPS;Princeps;Princeps;Princeps;;Princeps;;;;;x
DOMINUS;Dominus;Dominus;Dominus;;Dominus;;;;;x
ADMIRAL;Admiral;;;;;;;;;;;;;x
ADMIRAL_FOA;Your Excellency;;;;;;;;;;;;;x
