#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

PROV1452;Beshbaliq;;;;;;;;;;;;;x
PROV1508;Qamdo;;;;;;;;;;;;;x

PROV1831;Hechi;;;;;;;;;;;;;x
b_liujia;Liujia;;;;;;;;;;;;x
b_donglanhongse;Donglanhongse;;;;;;;;;;;;x
b_qiaotoubao;Qiaotoubao;;;;;;;;;;;;x
b_buxingji;Buxingji;;;;;;;;;;;;x
b_jiefanglu;Jiefanglu;;;;;;;;;;;;x
d_guixian;Guixian;;;;;;;;;;;;x

PROV2338;Kuizhou;;;;;;;;;;;;;x
b_kuizhou;Kuizhou;;;;;;;;;;;;x
b_yun_an;Yung'An;;;;;;;;;;;;x
b_chongqing;Chongqing;;;;;;;;;;;;x
b_tzh_ho;Tzh'Ho;;;;;;;;;;;;x
b_baidicheng;Baidicheng;;;;;;;;;;;;x
b_k_ai;K'ai;;;;;;;;;;;;x

PROV2325;Chiung;;;;;;;;;;;;;x
d_chiennan;Chiennan;;;;;;;;;;;;x
b_lizipingxiang;Lizipingxiang;;;;;;;;;;;;x
b_tuowuxiang;Tuowuxiang;;;;;;;;;;;;x
b_laobuzi;Laobuzi;;;;;;;;;;;;x
b_daqiaozhen;Daqiaozhen;;;;;;;;;;;;x
b_yubudi;Yubudi;;;;;;;;;;;;x
b_tapure;Tapure;;;;;;;;;;;;x
b_yiluoluocun;Yiluoluocun;;;;;;;;;;;;x

b_rong;Rong;;;;;;;;;;;;x
b_tinhoheung;Tinhoheung;;;;;;;;;;;;x
b_yangyuhuan;Yangyuhuan;;;;;;;;;;;;x
b_danxia;Danxia;;;;;;;;;;;;x

PROV2329;Wei;;;;;;;;;;;;x
b_wei;Wei;;;;;;;;;;;;x
b_songgangzhen;Songgangzhen;;;;;;;;;;;;x
b_ga_zhapula;GaZhapula;;;;;;;;;;;;x
b_qilcun;Qilcun;;;;;;;;;;;;x

PROV2327;Suining;;;;;;;;;;;;;x
b_suining;Suining;;;;;;;;;;;;x
b_shunching;Shunching;;;;;;;;;;;;x
b_chienpu;Chienpu;;;;;;;;;;;;x
b_tzh_ho;Tzh Ho;;;;;;;;;;;;x


PROV2190;Mi;;;;;;;;;;;;;x
b_mi;Mi;;;;;;;;;;;;x
b_jiaochou;Jiaochou;;;;;;;;;;;;x
b_zhucheng;Zhucheng;;;;;;;;;;;;x
b_qingdao;Qingdao;;;;;;;;;;;;x
b_qwandao;Qwando;;;;;;;;;;;;x

