1468;127;144;34;Leh;x
1469;169;147;162;Kangra;x
1470;1;150;35;Garhwal;x
1471;43;153;163;Kurmanchal;x
1472;85;156;36;Jumla;x
1473;127;159;164;Doti;x
1474;169;162;37;Lumbini;x
1475;1;165;165;Pokhara;x
1476;43;168;38;Manthang;x
1477;85;171;166;Janakpur;x
1478;127;174;39;Kathmandu;x
1479;169;177;167;Limbuwan;x
1480;1;180;40;Sikkim;x
1481;43;183;168;Paro;x
1482;85;186;41;Bumthang;x
1483;127;189;169;Monyul;x
1484;169;192;42;Lhoyu;x
1485;1;195;170;Rutog;x
1486;43;198;43;Tsaparang;x
1487;85;201;171;Gar;x
1488;127;204;44;Pangong;x
1489;169;207;172;Zhangzhung;x
1490;1;210;45;Kyunglung;x
1491;43;0;173;Purang;x
1492;85;3;46;Sakya;x
1493;127;6;174;Coqen;x
1494;169;9;47;Gerze;x
1495;1;12;175;Samtho;x
1496;43;15;48;Taktse;x
1497;85;18;176;Gyantse;x
1498;127;21;49;Lhasa;x
1499;169;24;177;Shigatse;x
1500;1;27;50;Nyingchi;x
1501;43;30;178;Nagormo;x
1502;85;33;51;Fuqi;x
1503;127;36;179;Jyekundo;x
1504;169;39;52;Maqen;x
1505;1;42;180;Markam;x
1506;43;45;53;Dege;x
1507;85;48;181;Nyima;x
1508;127;51;54;Qamdo;x
1509;169;54;182;Nagchu;x
1510;1;57;55;Gilgit;x
1511;43;60;183;Tashkurgan;x
1512;85;63;56;Skardu;x
1513;127;66;184;Diskit;x
