EVTDESC_SOH_1001;I have been approached by [FromFrom.GetBestName], a member of the Hwarang. [FromFrom.GetSheHeCap] is asking me to help [FromFrom.GetHerHim] adhere more closely to the values the Hwarang hold dear by providing spiritual guidance. Should I accept, the decision as to what to teach [FromFrom.GetHerHim] would be up to me.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1001;Of course I'll help!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1001;I'll only do it if you donate to charity!;;;;;;;;;;;;;;x
EVTOPTC_SOH_1001;I would require payment!;;;;;;;;;;;;;;x
EVTOPTD_SOH_1001;I would want a Favor in return!;;;;;;;;;;;;;;x
EVTOPTE_SOH_1001;I'll only do this as a Favor to you!;;;;;;;;;;;;;;x
EVTOPTF_SOH_1001;I have no interest in this...;;;;;;;;;;;;;;x
EVTDESC_SOH_1002;After considering my request [From.GetBestName] has informed me that [From.GetSheHe] would be willing to give me spiritual guidance, asking for nothing in return aside from me being an attentive student.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1002;Sounds fair it me!;;;;;;;;;;;;;;x
EVTDESC_SOH_1003;[From.GetBestName] has informed me that [From.GetSheHe] is willing to give me spiritual guidance if I am willing to a donation to charity. Of course, I could refuse and look for a teacher elsewhere if I would rather not accomodate this request.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1003;That is a reasonable request.;;;;;;;;;;;;;;x
EVTOPTB_SOH_1003;Charity? That's not happening!;;;;;;;;;;;;;;x
EVTDESC_SOH_1004;[From.GetBestName] has informed me that [From.GetSheHe] considers a charitable donation to a local shrine a small price to pay for spiritual guidance from me, and [From.GetSheHe] has provided proof that such a payment has been made.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1004;Excellent!;;;;;;;;;;;;;;x
EVTDESC_SOH_1005;I had expected my request for [From.GetBestName] to make a charitable donation to a local shrine in exchange for my guidance to be more than reasonable, but it seems [From.GetSheHe] is unwilling to make such a payment even if that means no lessons will be forthcoming.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1005;Well, [From.GetSheHe] is free to refuse...;;;;;;;;;;;;;;x
EVTDESC_SOH_1006;[From.GetBestName] has informed me that [From.GetSheHe] would require monetary compensation for any spiritual guidance [From.GetSheHe] provides. Of course, I can always refuse and try to find another teacher.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1006;Of course I'd be willing to pay!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1006;I don't see that happening...;;;;;;;;;;;;;;x
EVTDESC_SOH_1007;It seems [From.GetBestName] is very interested in getting spiritual guidance from me in particular, seeing as [From.GetSheHe] has decided that my request for monetary compensation indeed is reasonable and has provided the requested payment.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1007;Excellent!;;;;;;;;;;;;;;x
EVTDESC_SOH_1008;I would have expected [From.GetBestName] to be willing to pay for spiritual guidance from me, but it seems [From.GetSheHe] thinks that the request is unreasonable, as [From.GetSheHe] has informed me that [From.GetSheHe] would rather look for a teacher elsewhere.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1008;I suppose that's that...;;;;;;;;;;;;;;x
EVTDESC_SOH_1009;It seems [From.GetBestName] thinks that [From.GetSheHe] would be doing me a great service by agreeing to provide spiritual guidance, seeing as [From.GetSheHe] has informed me that I would have to grant [From.GetHerHim] a Favor in return.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1009;A Favor? Of course!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1009;I don't think so!;;;;;;;;;;;;;;x
EVTDESC_SOH_1010;[From.GetBestName] seems to be very eager indeed to get spiritual guidance from me, seeing as [From.GetSheHe] has informed me that [From.GetSheHe] indeed is willing to owe me a Favor in return.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1010;Excellent!;;;;;;;;;;;;;;x
EVTDESC_SOH_1011;Whether due to mistrust or something else, [From.GetBestName] has informed me that [From.GetSheHe] does not think that it would be reasonable to owe me a Favor in return for spiritual guidance. [From.GetSheHe] will look for spiritual guidance elsewhere.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1011;I see...;;;;;;;;;;;;;;x
EVTDESC_SOH_1012;[From.GetBestName] has considered my request for spiritual guidance and has determined that it only would be reasonable if I am willing to consider it repayment of the Favor [From.GetSheHe] owes me.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1012;I can agree to that!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1012;I think I'd rather keep the Favor...;;;;;;;;;;;;;;x
EVTDESC_SOH_1013;[From.GetBestName] has informed me that [From.GetSheHe] indeed would be willing to consider spiritual guidance from me repayment of the Favor I owe [From.GetHerHim], much like I had hoped.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1013;Excellent!;;;;;;;;;;;;;;x
EVTDESC_SOH_1014;It seems [From.GetBestName] does not think that spiritual guidance from me would be sufficient repayment of the Favor I owe [From.GetHerHim], as [From.GetSheHe] has informed me that [From.GetSheHe] will look for guidance elsewhere.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1014;I suppose that's reasonable...;;;;;;;;;;;;;;x
EVTDESC_SOH_1015;I would have thought that [From.GetBestName] would have been eager to give me spiritual guidance, or that [From.GetSheHe] at the very least would have been willing to work out a deal, but instead [From.GetSheHe] has informed me that [From.GetSheHe] thinks it would be a waste of time.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1015;How rude!;;;;;;;;;;;;;;x
EVTDESC_SOH_1017;After spending some time getting to know [From.GetBestName] better to figure out just what kind of spiritual guidance I reasonably could give [FromFrom.GetHerHim] it is time to make a decision. Maybe there is a particular way I want to change [FromFrom.GetHerHim], regardless of whether it is what the Hwarang would think best...;;;;;;;;;;;;;;x
EVTOPTA_SOH_1017;I should try to make [From.GetHerHim] more chaste!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1017;I should try to make [From.GetHerHim] more temperate!;;;;;;;;;;;;;;x
EVTOPTC_SOH_1017;I should try to make [From.GetHerHim] more charitable!;;;;;;;;;;;;;;x
EVTOPTD_SOH_1017;I should try to make [From.GetHerHim] more diligent!;;;;;;;;;;;;;;x
EVTOPTE_SOH_1017;I should try to make [From.GetHerHim] more patient!;;;;;;;;;;;;;;x
EVTOPTF_SOH_1017;I should try to make [From.GetHerHim] kinder!;;;;;;;;;;;;;;x
EVTOPTG_SOH_1017;I should try to make [From.GetHerHim] humbler!;;;;;;;;;;;;;;x
EVTOPTH_SOH_1017;I should try to make [From.GetHerHim] braver!;;;;;;;;;;;;;;x
EVTOPTI_SOH_1017;I should try to make [From.GetHerHim] more contet!;;;;;;;;;;;;;;x
EVTOPTJ_SOH_1017;I should try to make [From.GetHerHim] more gregarious!;;;;;;;;;;;;;;x
EVTOPTK_SOH_1017;I should try to make [From.GetHerHim] more honest!;;;;;;;;;;;;;;x
EVTOPTL_SOH_1017;I should try to make [From.GetHerHim] more just!;;;;;;;;;;;;;;x
EVTOPTM_SOH_1017;I should try to make [From.GetHerHim] more trusting!;;;;;;;;;;;;;;x
EVTOPTN_SOH_1017;I should try to make [From.GetHerHim] more zealous!;;;;;;;;;;;;;;x
EVTOPTO_SOH_1017;I should try to make [From.GetHerHim] less chaste!;;;;;;;;;;;;;;x
EVTOPTP_SOH_1017;I should try to make [From.GetHerHim] less temperate!;;;;;;;;;;;;;;x
EVTOPTQ_SOH_1017;I should try to make [From.GetHerHim] greedier!;;;;;;;;;;;;;;x
EVTOPTR_SOH_1017;I should try to make [From.GetHerHim] more slothful!;;;;;;;;;;;;;;x
EVTOPTS_SOH_1017;I should try to make [From.GetHerHim] more wroth!;;;;;;;;;;;;;;x
EVTOPTT_SOH_1017;I should try to make [From.GetHerHim] more envious!;;;;;;;;;;;;;;x
EVTOPTU_SOH_1017;I should try to make [From.GetHerHim] prouder!;;;;;;;;;;;;;;x
EVTOPTV_SOH_1017;I should try to make [From.GetHerHim] more arbitrary!;;;;;;;;;;;;;;x
EVTOPTW_SOH_1017;I should try to make [From.GetHerHim] more craven!;;;;;;;;;;;;;;x
EVTOPTX_SOH_1017;I should try to make [From.GetHerHim] less kind!;;;;;;;;;;;;;;x
EVTOPTY_SOH_1017;I should try to make [From.GetHerHim] more cynical!;;;;;;;;;;;;;;x
EVTOPTZ_SOH_1017;I should try to make [From.GetHerHim] less honest!;;;;;;;;;;;;;;x
EVTOPTAA_SOH_1017;I should try to make [From.GetHerHim] paranoid!;;;;;;;;;;;;;;x
