# Special unit types
camel_cavalry;Camel Cavalry;Chameaux;Kamelkavallerie;;Caballería de Camellos;;;;;;;;x
camel_cavalry_defensive;Camel Cavalry Defense;Défense des chameaux;Kamelkavallerie Verteidigung;;Caballería de Camellos Defensivo;;;;;;;;x
camel_cavalry_morale;Camel Cavalry Morale;Moral des chameaux;Kamelkavallerie Moral;;Caballería de Camellos Moral;;;;;;;;x
camel_cavalry_offensive;Camel Cavalry Attack;Attaque des chameaux;Kamelkavallerie Angriff;;Caballería de Camellos Ofensivo;;;;;;;;x
horse_archers;Horse Archers;Archers à cheval;Berittene Bogenschützen;;Arqueros Montados;;;;;;;;x
horse_archers_defensive;Horse Archers Defense;Défense des archers à cheval;Berittene Bogenschützen Verteidigung;;Defensa de Arqueros Montados;;;;;;;;x
horse_archers_morale;Horse Archers Morale;Moral des archers à cheval;Berittene Bogenschützen Moral;;Arqueros Montados Moral;;;;;;;;x
horse_archers_offensive;Horse Archers Attack;Attaque des archers à cheval;Berittene Bogenschützen Angriff;;Ataque de Arqueros Montados;;;;;;;;x
war_elephants;War Elephants;Éléphants de guerre;Kriegselefanten;;Elefantes de Guerra;;;;;;;;x
war_elephants_defensive;War Elephants Defense;Défense des éléphants de guerre;Kriegselefanten Verteidigung;;Elefantes de Guerra Defensivo;;;;;;;;x
war_elephants_morale;War Elephants Morale;Moral des éléphants de guerre;Kriegselefanten Moral;;Elefantes de Guerra Moral;;;;;;;;x
war_elephants_offensive;War Elephants Attack;Attaque des éléphants de guerre;Kriegselefanten Angriff;;Elefantes de Guerra Ofensivo;;;;;;;;x

# Generic
monthly_grace;Monthly Grace;Grâce mensuelle;Monatliche Gunst;;Gracia mensual;;;;;;;;;x
religion_head_opinion;Religious Head Opinion;Opinion du chef religieux;Meinung des religiösen Oberhauptes;;Opinión de líder religioso;;;;;;;;;x

# Softcoded religion group modifiers
christian_opinion;[christian.GetGroupName] Opinion;Opinion [christian.GetGroupName];[christian.GetGroupName]e Meinung;;Parecer [christian.GetGroupName];;;;;;;;;x
indian_group_opinion;[indian_group.GetGroupName] Opinion;Opinion [indian_group.GetGroupName];[indian_group.GetGroupName]e Meinung;;Parecer [indian_group.GetGroupName];;;;;;;;;x
jewish_group_opinion;[jewish_group.GetGroupName] Opinion;Opinion [jewish_group.GetGroupName];[jewish_group.GetGroupName]e Meinung;;Parecer [jewish_group.GetGroupName];;;;;;;;;x
muslim_opinion;[muslim.GetGroupName] Opinion;Opinion [muslim.GetGroupName];[muslim.GetGroupName]e Meinung;;Parecer [muslim.GetGroupName];;;;;;;;;x
pagan_group_opinion;[pagan_group.GetGroupName] Opinion;Opinion [pagan_group.GetGroupName];[pagan_group.GetGroupName]e Meinung;;Parecer [pagan_group.GetGroupName];;;;;;;;;x
zoroastrian_group_opinion;[zoroastrian_group.GetName] Opinion;Opinion [zoroastrian_group.GetName];[zoroastrian_group.GetName]e Meinung;;Parecer [zoroastrian_group.GetName];;;;;;;;;x

# Softcoded religion modifiers
catholic_opinion;[catholic.GetName] Opinion;Opinion [catholic.GetName];[catholic.GetName]e Meinung;;Parecer [catholic.GetName];;;;;;;;;x
cathar_opinion;[cathar.GetName] Opinion;Opinion [cathar.GetName];[cathar.GetName]e Meinung;;Parecer [cathar.GetName];;;;;;;;;x
fraticelli_opinion;[fraticelli.GetName] Opinion;Opinion [fraticelli.GetName];[fraticelli.GetName]e Meinung;;Parecer [fraticelli.GetName];;;;;;;;;x
lollard_opinion;[lollard.GetName] Opinion;Opinion [lollard.GetName];[lollard.GetName]e Meinung;;Parecer [lollard.GetName];;;;;;;;;x
waldensian_opinion;[waldensian.GetName] Opinion;Opinion [waldensian.GetName];[waldensian.GetName]e Meinung;;Parecer [waldensian.GetName];;;;;;;;;x
orthodox_opinion;[orthodox.GetName] Opinion;Opinion [orthodox.GetName];[orthodox.GetName]e Meinung;;Parecer [orthodox.GetName];;;;;;;;;x
