#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_korean;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;x
emperor__female_korean;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;Hwangje;x
king_korean;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;Gukwang;x
king__female_korean;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;Yeowang;x
duke_korean;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;x
duke__female_korean;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;Buyun;x
duchy_of_korean;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;Do of;x
duchy_korean;Do;Do;Do;Do;Do;Do;Do;Do;Do;Do;Do;Do;Do;x
count_korean;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;x
count_female_korean;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;Moksa;x
county_of_korean;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;Mok of;x
baron_korean;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;x
baron_female_korean;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;Gunsu;x
barony_of_korean;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;x
temple_barony_of_korean;Temple of;Temple of;Temple of;Temple of;Temple of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;x
temple_barony_korean;Temple;Temple;Temple;Temple;Temple;Temple;Temple;Gun of;Gun of;Gun of;Gun of;Gun of;Gun of;x
k_balhae;Balhae;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_balhae_adj;Balhaean;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
