#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_FIVE_DYNASTIES;Five Dynasties Period;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_FIVE_DYNASTIES_DESC;The once magnificent Tang dynasty has fallen, China is in turmoil... The Celestial Empire will be able to rise again, driven by a new and brilliant dynasty? Or will follow the same sad fate of fragmentations of the West? Meanwhile, in the troubled Europe, the Carolingian dynasty ceased to reign, and new dynasties arise, what will be their fate?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#########CULTURES###########
japonic;Japonic;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
japanese;Japanese;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ryukyuan;Ryukyuan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ainu;Ainu;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
chinese;Chinese;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
han;Han;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cantonese;Yue;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jurchen;Jurchen;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bai;Bai;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
koreanic;Koreanic;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
korean;Korean;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tibeto_burman_group;Tibeto-Burman;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tibetan;Tibetan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bamar;Bamar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tai_kadai_group;Tai-Kadai;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
thai;Thai;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kra;Kra;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kam-sui;Kam-Sui;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hlai;Hlai;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
northern-thai;North Thai;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lao;Lao;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
shan;Shan;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mon_khmer_group;Mon-Khmer;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
khmer;Khmer;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
viet;Viet;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cham;Cham;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
malayo_polynesian_group;Austronesian;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
malay;Malay;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tagalog;Tagalog;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
minangkabau;Minangkabau;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
middag;Middag;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
